id	concept
672	BETEL PEPPER VINE
673	LIME
674	POTATO
675	SUGAR
676	SINGAPORE TARO
677	TOBACCO
678	SAGO
679	COCONUT
680	RIPE COCONUT
681	GREEN COCONUT
682	BEAN
683	SALT
684	ARROW
685	SPEAR
686	AXE (STONE)
687	AXE (IRON)
688	BOW
689	ROPE (OF BOW)
690	COMB
691	GRASS SKIRT
692	G-STRING
693	LOINCLOTH
694	BASKET
695	HAND DRUM
696	SAUCEPAN (CLAY POT)
697	WOODEN PLATE
698	KNIFE
699	NETBAG
700	OLD
701	FACE
702	LEFT
703	RIGHT
704	STOMACH
705	BREAST
706	TAIL
707	CHICKEN
708	POSSUM
709	STUMP
710	TOP
711	TRUNK
712	ROOT
713	SHRUB
714	LIGHT
715	AXE
716	ROPE
717	SAUCEPAN
718	INSIDE
719	FALL
720	SWELL UP
721	CARRY
722	BLOW
723	BREAK
724	CUT
725	CHOP
726	FELL
727	FILL UP
728	FIGHT
729	THROW
730	POUR OUT
731	SCRATCH
732	TURN
733	SIBLING
734	HAIR
735	MOUTH 
736	SALIVA 
737	(UPPER) LEG
738	MOSQUITO 
739	FAT 
740	SUGAR CANE
741	TARO SINGAPORE
742	FRUIT 
743	ROOT 
744	FALL OVER
745	TALK TO
746	BLOW ON
747	SICK
748	AFRAID
749	MAN 1
750	LEG 
751	CASSOWARY*
752	EGG 
753	PIG*
754	CROCODILE* 
755	FROG 
756	RAT 
757	POSSUM (TREE)9
758	WING 
759	BETEL PEPPER VINE 
760	ALANG-ALANG GRASS 
761	PANDANUS 
762	TOBACCO10
763	TURN ONESELF
764	(BE) SICK
765	SIBLING_SAME_SEX,_YOUNGER
766	SIBLING_DIFFERENT_SEX,_YOUNGER
767	RIGHT_ARM_
768	UPPER_LEG
769	STOMACH_GUTS_
770	TAIL_OF_BIRD_
771	CHICKEN_WILD_
772	FLYING_FOX
773	POSSUM_GROUND_
774	SINGAPORE_TARO
775	YAM_DIOSCOREA_ESCULENTA_
776	GREEN_COCONUT
777	STUMP_OF_TREE_
778	TRUNK_OF_TREE_
779	PIECE_OF_WOOD
780	LIGHT_OF_FIRE_
781	AXE_IRON_
782	ROPE_OF_BOW_
783	GRASS_SKIRT
784	SIGNAL_DRUM
785	WOODEN_PLATE
786	OLD_OF_OBJECTS_
787	HOW_MANY
788	DAY_BREAK
789	DAY_AFTER_TOMORROW
790	SIT_DOWN
791	STAND_UP
792	GO_DOWN
793	FALL_TREE_
794	CARRY_ON_BACK_
795	CUT_WITH_KNIFE_
796	FELL_TREE_
797	POUR_OUT_LIQUID_
798	BE_AFRAID
799	SIBLING_SAME_SEX,_YOUNGER_
800	SIBLING_DIFFERENT_SEX,_YOUNGER_
801	MOUTH_
802	_UPPER_LEG
803	TAIL_OF_DOG_
804	FAT_
805	SUGAR_CANE
806	TARO_SINGAPORE
807	YAM_DISCOREA_ESCULENTA_
808	COCONUT_TREE_
809	FRUIT_
810	ROOT_
811	SAUCEPAN_CLAY_POT_
812	INSIDE_THE_HOUSE_
813	FALL_OVER_TREE_
814	TALK_TO
815	CARRY_ON_SHOULDER_
816	FELL_A_TREE_
817	FILL_UP_WATER_
818	FIGHT_HIT_
819	SKIN_BODY_
820	FEMALE_OF_ANIMALS_
821	RAT_
822	WING_
823	PANDANUS_
824	SPEAR_FISH_SPEAR_
825	POUR_OUT
826	SIBLING_DIF._SEX,_YOUNGER_
827	FILL_UP_LIQUID_
828	SIBLING_SAME_SEX_YOUNGER
829	SIBLING_DIFFERENT_SEX_YOUNGER
830	SIBLING_SAME_SEX_YOUNGER_
831	SIBLING_DIFFERENT_SEX_YOUNGER_
832	SIBLING_DIF._SEX_YOUNGER_
833	OLD_OF_HUMANS_
834	SIBLING_SAME_SEX_OLDER
835	SIBLING_DIFFERENT_SEX_OLDER
836	FACE_FOREHEAD_
837	LEFT_ARM_
838	BREAST_WOMAN_
839	CHICKEN_TAME_
840	POSSUM_TREE_
841	BETEL_PEPPER_VINE
842	ALANG-ALANG_GRASS
843	RIPE_COCONUT
844	TOP_OF_TREE_
845	ROOT_OF_TREE_
846	SHRUB_TANGET_
847	AXE_STONE_
848	HAND_DRUM
849	DAY_BEFORE_YESTERDAY
850	GO_UP
851	SWELL_UP_SKIN_
852	BLOW_ON_FIRE_
